# OpenTelemetry Metrics report: .csv, 4 fields: 
# <metric name>, <period start, nanoseconds>, <period end, nanoseconds>, <metric value>
# See CsvMetricsExporter for details.
# 
# NAME, PERIOD_START_NANOS, PERIOD_END_NANOS, VALUE
jps.global.initialize.library.bridges.after.loading.ms,1755220849586000000,1755220909868000000,2
jps.library.entities.serializer.save.entities.ms,1755220849586000000,1755220909868000000,0
workspaceModel.global.updates.count,1755220849586000000,1755220909868000000,0
workspaceModel.load.cache.from.file.ms,1755220849586000000,1755220909868000000,1
jps.app.storage.content.reader.load.component.ms,1755220849586000000,1755220909868000000,2
workspaceModel.moduleManagerBridge.create.module.instance.ms,1755220849586000000,1755220909868000000,0
workspaceModel.load.cache.metadata.from.file.ms,1755220849586000000,1755220909868000000,0
jps.global.get.libraries.ms,1755220849586000000,1755220909868000000,0
jps.global.initialize.library.bridges.ms,1755220849586000000,1755220909868000000,0
workspaceModel.mutableEntityStorage.add.entity.ms,1755220849586000000,1755220909868000000,0
workspaceModel.moduleManagerBridge.build.module.graph.ms,1755220849586000000,1755220909868000000,0
workspaceModel.global.apply.state.to.project.ms,1755220849586000000,1755220909868000000,0
workspaceModel.mutableEntityStorage.changeLog.addReplaceEventForRemovedParent.ms,1755220849586000000,1755220909868000000,0
workspaceModel.mutableEntityStorage.mutable.ext.mapping.ms,1755220849586000000,1755220909868000000,0
workspaceModel.moduleManagerBridge.load.module.ms,1755220849586000000,1755220909868000000,0
workspaceModel.do.save.caches.ms,1755220849586000000,1755220909868000000,0
workspaceModel.mutableEntityStorage.mutable.vfurl.index.ms,1755220849586000000,1755220909868000000,0
workspaceModel.mutableEntityStorage.referrers.ms,1755220849586000000,1755220909868000000,0
workspaceModel.mutableEntityStorage.remove.entity.ms,1755220849586000000,1755220909868000000,0
workspaceModel.mutableEntityStorage.modify.entity.ms,1755220849586000000,1755220909868000000,0
cacheStateStorage.get.counter,1755220849586000000,1755220909868000000,5
cacheStateStorage.set.duration,1755220849586000000,1755220909868000000,0
cacheStateStorage.get.duration,1755220849586000000,1755220909868000000,4
cacheStateStorage.set.counter,1755220849586000000,1755220909868000000,0
Indexing.writesQueuedMax,1755220909868000000,1755220969620000000,0
Indexing.writer_1.totalTimeSpentWritingMs,1755220909868000000,1755220969620000000,0
Indexing.writer_0.totalTimeSpentWritingMs,1755220909868000000,1755220969620000000,0
Indexing.writer_2.totalTimeSpentWritingMs,1755220909868000000,1755220969620000000,0
Indexing.cache.totalCacheEvicted,1755220909868000000,1755220969620000000,0
Indexing.writesQueuedMin,1755220909868000000,1755220969620000000,9223372036854775807
Indexing.writer_3.totalTimeSpentWritingMs,1755220909868000000,1755220969620000000,0
Indexing.cache.totalCacheAccesses,1755220909868000000,1755220969620000000,0
Indexing.totalTimeIndexersSleptMs,1755220909868000000,1755220969620000000,0
Indexing.cache.totalCacheMisses,1755220909868000000,1755220969620000000,0
ReadAction.executionsCount,1755220909868000000,1755220969620000000,0
NonBlockingReadAction.finalizedExecutionTimeUs,1755220909868000000,1755220969620000000,0
WriteAction.executionsCount,1755220909868000000,1755220969620000000,0
NonBlockingReadAction.finalizedExecutionsCount,1755220909868000000,1755220969620000000,0
NonBlockingReadAction.failedExecutionsCount,1755220909868000000,1755220969620000000,0
NonBlockingReadAction.failedExecutionTimeUs,1755220909868000000,1755220969620000000,0
DirectByteBufferAllocator.totalSizeOfBuffersCachedInBytes,1755220909868000000,1755220969620000000,0
FilePageCache.totalPageDisposalsUs,1755220909868000000,1755220969620000000,0
FilePageCache.uncachedFileAccess,1755220909868000000,1755220969620000000,0
MappedFileStorage.storages,1755220909868000000,1755220969620000000,6
DirectByteBufferAllocator.totalSizeOfBuffersAllocatedInBytes,1755220909868000000,1755220969620000000,161497088
FilePageCache.pageLoads,1755220909868000000,1755220969620000000,0
FilePageCache.disposedBuffers,1755220909868000000,1755220969620000000,0
DirectByteBufferAllocator.misses,1755220909868000000,1755220969620000000,0
StreamlinedBlobStorage.recordsAllocated,1755220909868000000,1755220969620000000,0
StorageLockContext.competingThreads.90P,1755220909868000000,1755220969620000000,0
StorageLockContext.competingThreads.avg,1755220909868000000,1755220969620000000,0.0
MappedFileStorage.totalPagesMapped,1755220909868000000,1755220969620000000,6
MappedFileStorage.totalTimeSpentOnMappingUs,1755220909868000000,1755220969620000000,1108021
DirectByteBufferAllocator.disposed,1755220909868000000,1755220969620000000,0
StreamlinedBlobStorage.totalLiveRecordsPayloadBytes,1755220909868000000,1755220969620000000,0
FilePageCache.maxCacheSizeInBytes,1755220909868000000,1755220969620000000,161497088
FilePageCache.maxRegisteredFiles,1755220909868000000,1755220969620000000,418
FilePageCache.pageLoadsAboveSizeThreshold,1755220909868000000,1755220969620000000,0
StreamlinedBlobStorage.totalLiveRecordsCapacityBytes,1755220909868000000,1755220969620000000,0
StreamlinedBlobStorage.recordsRelocated,1755220909868000000,1755220969620000000,0
